dep_code;year;pct_urban;density_class;density_is_static
"79";2018;30.227104;rural;True
"79";2019;30.227104;rural;True
"79";2020;30.227104;rural;True
"79";2021;30.227104;rural;True
"80";2012;44.254282;rural;True
"80";2013;44.254282;rural;True
"80";2014;44.254282;rural;True
"80";2015;44.254282;rural;True
"80";2016;44.254282;rural;True
"80";2017;44.254282;rural;True
"80";2018;44.254282;rural;True
"80";2019;44.254282;rural;True
"80";2020;44.254282;rural;True
"80";2021;44.254282;rural;True
"81";2012;47.856752;rural;True
"81";2013;47.856752;rural;True
"81";2014;47.856752;rural;True
"81";2015;47.856752;rural;True
"81";2016;47.856752;rural;True
"81";2017;47.856752;rural;True
"81";2018;47.856752;rural;True
"81";2019;47.856752;rural;True
"81";2020;47.856752;rural;True
"81";2021;47.856752;rural;True
"82";2012;28.514763;rural;True
"82";2013;28.514763;rural;True
"82";2014;28.514763;rural;True
"82";2015;28.514763;rural;True
"82";2016;28.514763;rural;True
"82";2017;28.514763;rural;True
"82";2018;28.514763;rural;True
"82";2019;28.514763;rural;True
"82";2020;28.514763;rural;True
"82";2021;28.514763;rural;True
"83";2012;73.534779;intermediate;True
"83";2013;73.534779;intermediate;True
"83";2014;73.534779;intermediate;True
"83";2015;73.534779;intermediate;True
"83";2016;73.534779;intermediate;True
"83";2017;73.534779;intermediate;True
"83";2018;73.534779;intermediate;True
"83";2019;73.534779;intermediate;True
"83";2020;73.534779;intermediate;True
"83";2021;73.534779;intermediate;True
"84";2012;62.146683;intermediate;True
"84";2013;62.146683;intermediate;True
"84";2014;62.146683;intermediate;True
"84";2015;62.146683;intermediate;True
"84";2016;62.146683;intermediate;True
"84";2017;62.146683;intermediate;True
"84";2018;62.146683;intermediate;True
"84";2019;62.146683;intermediate;True
"84";2020;62.146683;intermediate;True
"84";2021;62.146683;intermediate;True
